ID,Timezone,DST Diff,DST Rule,OS Time Zone,Name
30203,-4,1,0,America/St_Thomas,ST THOMAS
30204,-4,1,0,America/St_Vincent,ST VINCENT
30205,-6,1,0,America/Swift_Current,SWIFT CURRENT
30206,-6,1,0,America/Tegucigalpa,TEGUCIGALPA
30207,-4,1,1,America/Thule,THULE
30208,-5,1,1,America/Thunder_Bay,THUNDER BAY
30209,-8,1,1,America/Tijuana,TIJUANA
30210,-5,1,1,America/Toronto,TORONTO
30211,-4,1,0,America/Tortola,TORTOLA
30212,-8,1,1,America/Vancouver,VANCOUVER
30213,-4,1,0,America/Virgin,VIRGIN
30214,-8,1,1,America/Whitehorse,WHITEHORSE
30215,-6,1,1,America/Winnipeg,WINNIPEG
30216,-9,1,1,America/Yakutat,YAKUTAT
30217,-7,1,1,America/Yellowknife,YELLOWKNIFE
30218,8,1,0,Antarctica/Casey,CASEY
30219,7,1,0,Antarctica/Davis,DAVIS
30220,10,1,0,Antarctica/DumontDUrville,DUMONTDURVILLE
30221,11,1,0,Antarctica/Macquarie,MACQUARIE
30222,5,1,0,Antarctica/Mawson,MAWSON
30223,12,1,5,Antarctica/McMurdo,MCMURDO
30224,-3,1,0,Antarctica/Palmer,PALMER
30225,-3,1,0,Antarctica/Rothera,ROTHERA
30226,12,1,5,Antarctica/South_Pole,SOUTH POLE
30227,3,1,0,Antarctica/Syowa,SYOWA
30228,0,2,2,Antarctica/Troll,TROLL
30229,6,1,0,Antarctica/Vostok,VOSTOK
30230,1,1,2,Arctic/Longyearbyen,LONGYEARBYEN
30231,3,1,0,Asia/Aden,ADEN
30232,5,1,0,Asia/Almaty,ALMATY
30233,3,1,0,Asia/Amman,AMMAN
30234,12,1,0,Asia/Anadyr,ANADYR
30235,5,1,0,Asia/Aqtau,AQTAU
30236,5,1,0,Asia/Aqtobe,AQTOBE
30237,5,1,0,Asia/Ashgabat,ASHGABAT
30238,5,1,0,Asia/Ashkhabad,ASHKHABAD
30239,3,1,0,Asia/Baghdad,BAGHDAD
30240,3,1,0,Asia/Bahrain,BAHRAIN
30241,4,1,0,Asia/Baku,BAKU
30242,7,1,0,Asia/Bangkok,BANGKOK
30243,2,1,12,Asia/Beirut,BEIRUT
30244,6,1,0,Asia/Bishkek,BISHKEK
30245,8,1,0,Asia/Brunei,BRUNEI
30246,5.5,1,0,Asia/Calcutta,CALCUTTA
30247,8,1,0,Asia/Choibalsan,CHOIBALSAN
30248,8,1,0,Asia/Chongqing,CHONGQING
30249,8,1,0,Asia/Chungking,CHUNGKING
30250,5.5,1,0,Asia/Colombo,COLOMBO
30251,6,1,0,Asia/Dacca,DACCA
30252,3,1,0,Asia/Damascus,DAMASCUS
30253,6,1,0,Asia/Dhaka,DHAKA
30254,9,1,0,Asia/Dili,DILI
30255,4,1,0,Asia/Dubai,DUBAI
30256,5,1,0,Asia/Dushanbe,DUSHANBE
30257,2,1,29,Asia/Gaza,GAZA
30258,8,1,0,Asia/Harbin,HARBIN
30259,2,1,29,Asia/Hebron,HEBRON
30260,7,1,0,Asia/Ho_Chi_Minh,HO CHI MINH
30261,8,1,0,Asia/Hong_Kong,HONG KONG
30262,7,1,0,Asia/Hovd,HOVD
30263,8,1,0,Asia/Irkutsk,IRKUTSK
30264,3,1,0,Asia/Istanbul,ISTANBUL
30265,7,1,0,Asia/Jakarta,JAKARTA
30266,9,1,0,Asia/Jayapura,JAYAPURA
30267,2,1,42,Asia/Jerusalem,JERUSALEM
30268,4.5,1,0,Asia/Kabul,KABUL
30269,12,1,0,Asia/Kamchatka,KAMCHATKA
30270,5,1,0,Asia/Karachi,KARACHI
30271,8,1,0,Asia/Kashgar,KASHGAR
30272,5.75,1,0,Asia/Kathmandu,KATHMANDU
30273,5.75,1,0,Asia/Katmandu,KATMANDU
30274,9,1,0,Asia/Khandyga,KHANDYGA
30275,5.5,1,0,Asia/Kolkata,KOLKATA
30276,7,1,0,Asia/Krasnoyarsk,KRASNOYARSK
30277,8,1,0,Asia/Kuala_Lumpur,KUALA LUMPUR
30278,8,1,0,Asia/Kuching,KUCHING
30279,3,1,0,Asia/Kuwait,KUWAIT
30280,8,1,0,Asia/Macao,MACAO
30281,8,1,0,Asia/Macau,MACAU
30282,11,1,0,Asia/Magadan,MAGADAN
30283,8,1,0,Asia/Makassar,MAKASSAR
30284,8,1,0,Asia/Manila,MANILA
30285,4,1,0,Asia/Muscat,MUSCAT
30286,2,1,3,Asia/Nicosia,NICOSIA
30287,7,1,0,Asia/Novokuznetsk,NOVOKUZNETSK
30288,7,1,0,Asia/Novosibirsk,NOVOSIBIRSK
30289,6,1,0,Asia/Omsk,OMSK
30290,5,1,0,Asia/Oral,ORAL
30291,7,1,0,Asia/Phnom_Penh,PHNOM PENH
30292,7,1,0,Asia/Pontianak,PONTIANAK
30293,9,1,0,Asia/Pyongyang,PYONGYANG
30294,3,1,0,Asia/Qatar,QATAR
30295,5,1,0,Asia/Qyzylorda,QYZYLORDA
30296,6.5,1,0,Asia/Rangoon,RANGOON
30297,3,1,0,Asia/Riyadh,RIYADH
30298,7,1,0,Asia/Saigon,SAIGON
30299,11,1,0,Asia/Sakhalin,SAKHALIN
30300,5,1,0,Asia/Samarkand,SAMARKAND
30301,9,1,0,Asia/Seoul,SEOUL
30302,8,1,0,Asia/Shanghai,SHANGHAI
30303,8,1,0,Asia/Singapore,SINGAPORE
30304,8,1,0,Asia/Taipei,TAIPEI
30305,5,1,0,Asia/Tashkent,TASHKENT
30306,4,1,0,Asia/Tbilisi,TBILISI
30307,3.5,1,0,Asia/Tehran,TEHRAN
30308,2,1,42,Asia/Tel_Aviv,TEL AVIV
30309,6,1,0,Asia/Thimbu,THIMBU
30310,6,1,0,Asia/Thimphu,THIMPHU
30311,9,1,0,Asia/Tokyo,TOKYO
30312,8,1,0,Asia/Ujung_Pandang,UJUNG PANDANG
30313,8,1,0,Asia/Ulaanbaatar,ULAANBAATAR
30314,8,1,0,Asia/Ulan_Bator,ULAN BATOR
30315,8,1,0,Asia/Urumqi,URUMQI
30316,10,1,0,Asia/Ust-Nera,UST-NERA
30317,7,1,0,Asia/Vientiane,VIENTIANE
30318,10,1,0,Asia/Vladivostok,VLADIVOSTOK
30319,9,1,0,Asia/Yakutsk,YAKUTSK
30320,5,1,0,Asia/Yekaterinburg,YEKATERINBURG
30321,4,1,0,Asia/Yerevan,YEREVAN
30322,-1,1,2,Atlantic/Azores,AZORES
30323,-4,1,1,Atlantic/Bermuda,BERMUDA
30324,0,1,14,Atlantic/Canary,CANARY
30325,-1,1,0,Atlantic/Cape_Verde,CAPE VERDE
30326,0,1,2,Atlantic/Faeroe,FAEROE
30327,0,1,2,Atlantic/Faroe,FAROE
30328,1,1,2,Atlantic/Jan_Mayen,JAN MAYEN
30329,0,1,2,Atlantic/Madeira,MADEIRA
30330,0,1,0,Atlantic/Reykjavik,REYKJAVIK
30331,-2,1,0,Atlantic/South_Georgia,SOUTH GEORGIA
30332,0,1,0,Atlantic/St_Helena,ST HELENA
